Latitude,Longitude,MAT,MAP,LC_IGBP,FLUXCOM_GPP,FLUXCOM_GPP_filter
68.75,151.25,-12.99,197.49,7,0.76828,0.76828
-68.75,151.25,-16.3,605.59,15,NaN,NaN
-80.75,-110.75,-28.79,84.79,15,NaN,NaN
-80.75,110.75,-53.38,28.12,15,NaN,NaN
3.25,-55.75,26.25,2353.7,2,6.7626,6.7626
-3.25,-55.75,27.26,2031.3,2,6.7898,6.7898
72.75,-97.75,-13.9,238.04,10,0.22875,0.22875
71.75,-45.75,-23.3,226.12,15,NaN,NaN
-71.75,45.75,-35.73,716.66,15,NaN,NaN
72.75,97.75,-13.47,282.01,7,0.34509,0.34509
-72.75,97.75,-43.85,276.83,15,NaN,NaN
-17.75,127.25,26.4,594.76,7,0.70039,0.70039
-74.75,-65.75,-27.32,441.18,15,NaN,NaN
-74.75,65.75,-27.42,134.71,15,NaN,NaN
43.25,143.25,5.34,908.37,4,2.4567,2.4567
52.75,132.25,-5.2,652.61,5,2.2504,2.2504
39.25,49.75,15.03,495.6,17,NaN,NaN
76.75,-86.75,-18.89,189.33,16,NaN,NaN
-76.75,-86.75,-22.78,221.33,15,NaN,NaN
-76.75,86.75,-50.02,52.8,15,NaN,NaN
-10.25,32.25,20.49,1111.5,9,3.6358,3.6358
60.25,79.75,-2.31,519.16,9,2.0316,2.0316
57.75,103.25,-3.84,394.96,1,2.086,2.086
48.75,33.75,8.12,504.51,12,1.7158,1.7158
-73.75,140.75,-43.05,418.74,15,NaN,NaN
-89.75,-119.25,-49.02,7.26,15,NaN,NaN
-89.75,119.25,-49.4,7,15,NaN,NaN
-79.25,-149.75,-24.62,310.96,15,NaN,NaN
-79.25,149.75,-32.72,199.26,15,NaN,NaN
40.25,33.25,8.29,429.39,10,1.2285,1.2285
43.25,-120.75,6.38,270.88,10,0.69252,0.69252
43.25,120.75,6.45,451.52,10,1.1259,1.1259
-78.75,-126.25,-27.49,147.41,15,NaN,NaN
-78.75,126.25,-49.99,40.58,15,NaN,NaN
-22.25,119.75,25.1,329.74,7,0.14342,0.14342
