"value","units","time","era","variable","model","experiment","ensemble","grid","year","month"
0.317906836125936,NA,18630515.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1863","05"
0.227263774512636,NA,18630615,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1863","06"
0.216634668359693,NA,18630715.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1863","07"
0.221258797105561,NA,18630815.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1863","08"
0.25045975953666,NA,18630915,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1863","09"
0.345823457001331,NA,18631015.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1863","10"
0.521582245504625,NA,18631115,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1863","11"
0.601412822757195,NA,18631215.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1863","12"
0.465510180577277,NA,18640115.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1864","01"
0.318040471839961,NA,18640214,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1864","02"
0.36592752037018,NA,18640315.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1864","03"
0.442177582054257,NA,18640415,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1864","04"
0.366829156696366,NA,18640515.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1864","05"
0.217200332256491,NA,18640615,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1864","06"
0.209231548431369,NA,18640715.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1864","07"
0.226649888154708,NA,18640815.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1864","08"
0.247487137734005,NA,18640915,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1864","09"
0.331059586831993,NA,18641015.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1864","10"
0.660256902570552,NA,18641115,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1864","11"
0.594909174755915,NA,18641215.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1864","12"
0.426342444407337,NA,18650115.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1865","01"
0.291356651527362,NA,18650214,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1865","02"
0.308438474065984,NA,18650315.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1865","03"
0.488290781763241,NA,18650415,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1865","04"
0.411535779596784,NA,18650515.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1865","05"
0.232795001785224,NA,18650615,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1865","06"
0.228306861059423,NA,18650715.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1865","07"
0.233382859675695,NA,18650815.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1865","08"
0.266883853859121,NA,18650915,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1865","09"
0.357388755540111,NA,18651015.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1865","10"
0.493564025206871,NA,18651115,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1865","11"
0.522082188011142,NA,18651215.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1865","12"
0.392810816294804,NA,18660115.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1866","01"
0.257127056591524,NA,18660214,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1866","02"
0.327359710938753,NA,18660315.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1866","03"
0.421157441052983,NA,18660415,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1866","04"
0.332714400535369,NA,18660515.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1866","05"
0.230477743122618,NA,18660615,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1866","06"
0.226554003357755,NA,18660715.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1866","07"
0.232339938298802,NA,18660815.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1866","08"
0.271512641953093,NA,18660915,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1866","09"
0.355737442013123,NA,18661015.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1866","10"
0.557018125775408,NA,18661115,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1866","11"
0.571796892607318,NA,18661215.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1866","12"
0.41499697817552,NA,18670115.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1867","01"
0.287007316558847,NA,18670214,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1867","02"
0.298461754253908,NA,18670315.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1867","03"
0.434574683233098,NA,18670415,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1867","04"
0.358321980531999,NA,18670515.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1867","05"
0.219502017503419,NA,18670615,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1867","06"
0.209162231875153,NA,18670715.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1867","07"
0.218207089929816,NA,18670815.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1867","08"
0.25777759579792,NA,18670915,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1867","09"
0.328673043801711,NA,18671015.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1867","10"
0.593390694515472,NA,18671115,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1867","11"
0.645150264354945,NA,18671215.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1867","12"
0.404566761393804,NA,18680115.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1868","01"
0.321794894726262,NA,18680214,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1868","02"
